Current dataset: FashionMNIST | Current depth: 3
Epoch 3 | Train Loss: 1.8730 | Test Accuracy: 33.17% | AUC: 0.7913
Epoch 4 | Train Loss: 1.8362 | Test Accuracy: 33.63% | AUC: 0.7960
Epoch 5 | Train Loss: 1.8080 | Test Accuracy: 33.84% | AUC: 0.7980
Epoch 6 | Train Loss: 1.7876 | Test Accuracy: 33.95% | AUC: 0.8025
Epoch 7 | Train Loss: 1.7724 | Test Accuracy: 34.12% | AUC: 0.7998
Epoch 8 | Train Loss: 1.7563 | Test Accuracy: 33.86% | AUC: 0.8036
Epoch 9 | Train Loss: 1.7417 | Test Accuracy: 34.64% | AUC: 0.8035
Epoch 10 | Train Loss: 1.7304 | Test Accuracy: 34.67% | AUC: 0.8051
Epoch 11 | Train Loss: 1.7224 | Test Accuracy: 35.08% | AUC: 0.8068
Epoch 12 | Train Loss: 1.7116 | Test Accuracy: 35.34% | AUC: 0.8058
Epoch 13 | Train Loss: 1.7029 | Test Accuracy: 36.03% | AUC: 0.8069
Epoch 14 | Train Loss: 1.6974 | Test Accuracy: 36.24% | AUC: 0.8098
Epoch 15 | Train Loss: 1.6909 | Test Accuracy: 35.86% | AUC: 0.8099
Epoch 16 | Train Loss: 1.6854 | Test Accuracy: 35.56% | AUC: 0.8072
Epoch 17 | Train Loss: 1.6793 | Test Accuracy: 35.78% | AUC: 0.8098
Epoch 18 | Train Loss: 1.6743 | Test Accuracy: 36.07% | AUC: 0.8092
Epoch 19 | Train Loss: 1.6713 | Test Accuracy: 37.02% | AUC: 0.8133
Epoch 20 | Train Loss: 1.6595 | Test Accuracy: 36.50% | AUC: 0.8101
Epoch 21 | Train Loss: 1.6563 | Test Accuracy: 36.74% | AUC: 0.8109
Epoch 22 | Train Loss: 1.6524 | Test Accuracy: 36.64% | AUC: 0.8120
Epoch 23 | Train Loss: 1.6440 | Test Accuracy: 36.24% | AUC: 0.8086
Epoch 24 | Train Loss: 1.6461 | Test Accuracy: 36.49% | AUC: 0.8112
